model,random_state,accuracy,recall,precision,f1_score
knn,42,0.627906976744186,0.5918367346938775,0.5087719298245614,0.5471698113207547
svm,42,0.627906976744186,0.7959183673469388,0.5064935064935064,0.6190476190476191
nb,42,0.689922480620155,0.5306122448979592,0.6046511627906976,0.5652173913043478
lr,42,0.6666666666666666,0.5102040816326531,0.5681818181818182,0.5376344086021505
rf,42,0.6511627906976745,0.5510204081632653,0.54,0.5454545454545454
knn,43,0.6456692913385826,0.425531914893617,0.5263157894736842,0.47058823529411764
svm,43,0.5590551181102362,0.8723404255319149,0.45054945054945056,0.5942028985507246
nb,43,0.6141732283464567,0.2765957446808511,0.4642857142857143,0.3466666666666667
lr,43,0.6929133858267716,0.2127659574468085,0.8333333333333334,0.3389830508474576
rf,43,0.6614173228346457,0.5319148936170213,0.5434782608695652,0.5376344086021505
knn,44,0.6929133858267716,0.5,0.6153846153846154,0.5517241379310345
svm,44,0.6614173228346457,0.16666666666666666,0.7272727272727273,0.2711864406779661
nb,44,0.7007874015748031,0.4375,0.65625,0.525
lr,44,0.7007874015748031,0.4791666666666667,0.6388888888888888,0.5476190476190477
rf,44,0.7165354330708661,0.4791666666666667,0.6764705882352942,0.5609756097560976
knn,45,0.616,0.22916666666666666,0.5,0.3142857142857143
svm,45,0.632,0.6666666666666666,0.5161290322580645,0.5818181818181818
nb,45,0.68,0.25,0.75,0.375
lr,45,0.656,0.22916666666666666,0.6470588235294118,0.3384615384615385
rf,45,0.624,0.3541666666666667,0.5151515151515151,0.41975308641975306
knn,46,0.5625,0.2857142857142857,0.4,0.3333333333333333
svm,46,0.5390625,0.2857142857142857,0.3684210526315789,0.3218390804597701
nb,46,0.703125,0.5306122448979592,0.6341463414634146,0.5777777777777777
lr,46,0.65625,0.3469387755102041,0.5862068965517241,0.4358974358974359
rf,46,0.5703125,0.3877551020408163,0.4318181818181818,0.40860215053763443
knn,47,0.7573529411764706,0.6842105263157895,0.7222222222222222,0.7027027027027027
svm,47,0.6029411764705882,0.07017543859649122,0.8,0.12903225806451613
nb,47,0.6029411764705882,0.22807017543859648,0.5652173913043478,0.325
lr,47,0.6397058823529411,0.22807017543859648,0.7222222222222222,0.3466666666666667
rf,47,0.7720588235294118,0.7017543859649122,0.7407407407407407,0.7207207207207207
knn,48,0.5891472868217055,0.32653061224489793,0.4444444444444444,0.3764705882352941
svm,48,0.6356589147286822,0.3673469387755102,0.5294117647058824,0.43373493975903615
nb,48,0.6744186046511628,0.3469387755102041,0.6296296296296297,0.4473684210526316
lr,48,0.5813953488372093,0.10204081632653061,0.3333333333333333,0.15625
rf,48,0.6046511627906976,0.30612244897959184,0.46875,0.37037037037037035
knn,49,0.6222222222222222,0.47368421052631576,0.5625,0.5142857142857142
svm,49,0.6222222222222222,0.12280701754385964,0.875,0.2153846153846154
nb,49,0.6444444444444445,0.24561403508771928,0.7368421052631579,0.3684210526315789
lr,49,0.6518518518518519,0.3508771929824561,0.6666666666666666,0.45977011494252873
rf,49,0.7481481481481481,0.6140350877192983,0.7446808510638298,0.6730769230769231
knn,50,0.6062992125984252,0.3125,0.46875,0.375
svm,50,0.6299212598425197,0.20833333333333334,0.5263157894736842,0.29850746268656714
nb,50,0.5748031496062992,0.20833333333333334,0.38461538461538464,0.2702702702702703
lr,50,0.5905511811023622,0.2708333333333333,0.43333333333333335,0.3333333333333333
rf,50,0.6377952755905512,0.3125,0.5357142857142857,0.39473684210526316
knn,51,0.5859375,0.3469387755102041,0.4473684210526316,0.39080459770114945
svm,51,0.6328125,0.2857142857142857,0.5384615384615384,0.37333333333333335
nb,51,0.6796875,0.40816326530612246,0.625,0.49382716049382713
lr,51,0.625,0.30612244897959184,0.5172413793103449,0.38461538461538464
rf,51,0.65625,0.3469387755102041,0.5862068965517241,0.4358974358974359
