model,random_state,accuracy,recall,precision,f1_score
knn,42,0.7209302325581395,0.6530612244897959,0.6274509803921569,0.64
svm,42,0.813953488372093,0.9795918367346939,0.676056338028169,0.8
nb,42,0.627906976744186,0.5510204081632653,0.5094339622641509,0.5294117647058824
lr,42,0.6666666666666666,0.8367346938775511,0.5394736842105263,0.656
rf,42,0.7364341085271318,0.6938775510204082,0.6415094339622641,0.6666666666666666
knn,43,0.6299212598425197,0.3617021276595745,0.5,0.41975308641975306
svm,43,0.7716535433070866,0.8085106382978723,0.6551724137931034,0.7238095238095238
nb,43,0.5905511811023622,0.6808510638297872,0.463768115942029,0.5517241379310345
lr,43,0.7637795275590551,0.7872340425531915,0.6491228070175439,0.7115384615384616
rf,43,0.6377952755905512,0.46808510638297873,0.5116279069767442,0.4888888888888889
knn,44,0.7559055118110236,0.625,0.6976744186046512,0.6593406593406593
svm,44,0.889763779527559,0.8333333333333334,0.8695652173913043,0.851063829787234
nb,44,0.6456692913385826,0.5208333333333334,0.5319148936170213,0.5263157894736842
lr,44,0.7244094488188977,0.6041666666666666,0.6444444444444445,0.6236559139784946
rf,44,0.7480314960629921,0.6666666666666666,0.6666666666666666,0.6666666666666666
knn,45,0.616,0.5416666666666666,0.5,0.52
svm,45,0.968,0.9791666666666666,0.94,0.9591836734693877
nb,45,0.568,0.4375,0.4375,0.4375
lr,45,0.832,0.7291666666666666,0.813953488372093,0.7692307692307693
rf,45,0.56,0.5208333333333334,0.43859649122807015,0.47619047619047616
knn,46,0.6328125,0.46938775510204084,0.5227272727272727,0.4946236559139785
svm,46,0.8984375,0.8367346938775511,0.8913043478260869,0.8631578947368421
nb,46,0.6640625,0.5306122448979592,0.5652173913043478,0.5473684210526316
lr,46,0.796875,0.6326530612244898,0.7948717948717948,0.7045454545454546
rf,46,0.6875,0.5102040816326531,0.6097560975609756,0.5555555555555556
knn,47,0.8088235294117647,0.631578947368421,0.8780487804878049,0.7346938775510204
svm,47,0.8088235294117647,0.8596491228070176,0.7313432835820896,0.7903225806451613
nb,47,0.6911764705882353,0.7368421052631579,0.6086956521739131,0.6666666666666666
lr,47,0.6985294117647058,0.631578947368421,0.6428571428571429,0.6371681415929203
rf,47,0.7941176470588235,0.6666666666666666,0.8085106382978723,0.7307692307692307
knn,48,0.6434108527131783,0.30612244897959184,0.5555555555555556,0.39473684210526316
svm,48,0.751937984496124,0.7959183673469388,0.639344262295082,0.7090909090909091
nb,48,0.6201550387596899,0.6530612244897959,0.5,0.5663716814159292
lr,48,0.6976744186046512,0.673469387755102,0.5892857142857143,0.6285714285714286
rf,48,0.6434108527131783,0.4489795918367347,0.5365853658536586,0.4888888888888889
knn,49,0.7555555555555555,0.5614035087719298,0.8,0.6597938144329897
svm,49,0.9407407407407408,0.9122807017543859,0.9454545454545454,0.9285714285714286
nb,49,0.562962962962963,0.3333333333333333,0.475,0.3917525773195876
lr,49,0.8148148148148148,0.7719298245614035,0.7857142857142857,0.7787610619469026
rf,49,0.8074074074074075,0.6842105263157895,0.8297872340425532,0.75
knn,50,0.7007874015748031,0.5,0.631578947368421,0.5581395348837209
svm,50,0.8976377952755905,0.875,0.8571428571428571,0.865979381443299
nb,50,0.5196850393700787,0.3125,0.3488372093023256,0.32967032967032966
lr,50,0.7480314960629921,0.7291666666666666,0.6481481481481481,0.6862745098039216
rf,50,0.7401574803149606,0.5625,0.6923076923076923,0.6206896551724138
knn,51,0.5546875,0.3673469387755102,0.4090909090909091,0.3870967741935484
svm,51,0.9296875,0.9183673469387755,0.9,0.9090909090909091
nb,51,0.6171875,0.4489795918367347,0.5,0.4731182795698925
lr,51,0.7734375,0.5918367346938775,0.7631578947368421,0.6666666666666666
rf,51,0.6015625,0.4489795918367347,0.4782608695652174,0.4631578947368421
