model,random_state,accuracy,recall,precision,f1_score
knn,42,0.689922480620155,0.6122448979591837,0.5882352941176471,0.6
svm,42,0.6124031007751938,0.46938775510204084,0.48936170212765956,0.4791666666666667
nb,42,0.6124031007751938,0.5714285714285714,0.49122807017543857,0.5283018867924528
lr,42,0.6744186046511628,0.5102040816326531,0.5813953488372093,0.5434782608695652
rf,42,0.7054263565891473,0.6938775510204082,0.5964912280701754,0.6415094339622641
knn,43,0.5905511811023622,0.2978723404255319,0.42424242424242425,0.35
svm,43,0.6771653543307087,0.3829787234042553,0.6,0.4675324675324675
nb,43,0.5669291338582677,0.7446808510638298,0.44871794871794873,0.56
lr,43,0.7007874015748031,0.2127659574468085,0.9090909090909091,0.3448275862068966
rf,43,0.6062992125984252,0.5106382978723404,0.47058823529411764,0.4897959183673469
knn,44,0.6299212598425197,0.2916666666666667,0.5185185185185185,0.37333333333333335
svm,44,0.6535433070866141,0.125,0.75,0.21428571428571427
nb,44,0.6377952755905512,0.5208333333333334,0.5208333333333334,0.5208333333333334
lr,44,0.7244094488188977,0.4791666666666667,0.696969696969697,0.5679012345679012
rf,44,0.6850393700787402,0.4791666666666667,0.6052631578947368,0.5348837209302325
knn,45,0.632,0.4375,0.525,0.4772727272727273
svm,45,0.552,0.7083333333333334,0.4473684210526316,0.5483870967741935
nb,45,0.568,0.4583333333333333,0.44,0.4489795918367347
lr,45,0.664,0.22916666666666666,0.6875,0.34375
rf,45,0.6,0.5208333333333334,0.4807692307692308,0.5
knn,46,0.609375,0.40816326530612246,0.4878048780487805,0.4444444444444444
svm,46,0.578125,0.32653061224489793,0.43243243243243246,0.37209302325581395
nb,46,0.6875,0.5510204081632653,0.6,0.574468085106383
lr,46,0.6640625,0.3673469387755102,0.6,0.45569620253164556
rf,46,0.609375,0.3877551020408163,0.48717948717948717,0.4318181818181818
knn,47,0.7279411764705882,0.5263157894736842,0.75,0.6185567010309279
svm,47,0.5955882352941176,0.24561403508771928,0.5384615384615384,0.3373493975903614
nb,47,0.6985294117647058,0.7894736842105263,0.6081081081081081,0.6870229007633588
lr,47,0.6176470588235294,0.3508771929824561,0.5714285714285714,0.43478260869565216
rf,47,0.7941176470588235,0.6491228070175439,0.8222222222222222,0.7254901960784313
knn,48,0.5503875968992248,0.24489795918367346,0.36363636363636365,0.2926829268292683
svm,48,0.5968992248062015,0.08163265306122448,0.36363636363636365,0.13333333333333333
nb,48,0.6201550387596899,0.7551020408163265,0.5,0.6016260162601627
lr,48,0.6046511627906976,0.10204081632653061,0.4166666666666667,0.16393442622950818
rf,48,0.5813953488372093,0.3877551020408163,0.4418604651162791,0.41304347826086957
knn,49,0.6074074074074074,0.2631578947368421,0.5769230769230769,0.3614457831325301
svm,49,0.6444444444444445,0.17543859649122806,0.9090909090909091,0.29411764705882354
nb,49,0.562962962962963,0.3333333333333333,0.475,0.3917525773195876
lr,49,0.6592592592592592,0.3508771929824561,0.6896551724137931,0.46511627906976744
rf,49,0.762962962962963,0.5964912280701754,0.7906976744186046,0.68
knn,50,0.6220472440944882,0.375,0.5,0.42857142857142855
svm,50,0.6220472440944882,0.16666666666666666,0.5,0.25
nb,50,0.5275590551181102,0.3333333333333333,0.36363636363636365,0.34782608695652173
lr,50,0.5905511811023622,0.25,0.42857142857142855,0.3157894736842105
rf,50,0.6220472440944882,0.2708333333333333,0.5,0.35135135135135137
knn,51,0.578125,0.32653061224489793,0.43243243243243246,0.37209302325581395
svm,51,0.59375,0.2653061224489796,0.4482758620689655,0.3333333333333333
nb,51,0.609375,0.46938775510204084,0.48936170212765956,0.4791666666666667
lr,51,0.6328125,0.2653061224489796,0.5416666666666666,0.3561643835616438
rf,51,0.6640625,0.42857142857142855,0.5833333333333334,0.49411764705882355
