model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6124031007751938,0.5306122448979592,0.49056603773584906,0.5098039215686274
svm,42,0.6124031007751938,0.46938775510204084,0.48936170212765956,0.4791666666666667
nb,42,0.6666666666666666,0.4897959183673469,0.5714285714285714,0.5274725274725275
lr,42,0.6434108527131783,0.5306122448979592,0.5306122448979592,0.5306122448979592
rf,42,0.6821705426356589,0.6122448979591837,0.5769230769230769,0.594059405940594
knn,43,0.6062992125984252,0.2765957446808511,0.4482758620689655,0.34210526315789475
svm,43,0.6377952755905512,0.0425531914893617,0.6666666666666666,0.08
nb,43,0.6456692913385826,0.0425531914893617,1.0,0.08163265306122448
lr,43,0.7007874015748031,0.2127659574468085,0.9090909090909091,0.3448275862068966
rf,43,0.7007874015748031,0.5106382978723404,0.6153846153846154,0.5581395348837209
knn,44,0.6614173228346457,0.4166666666666667,0.5714285714285714,0.4819277108433735
svm,44,0.6692913385826772,0.20833333333333334,0.7142857142857143,0.3225806451612903
nb,44,0.6771653543307087,0.2708333333333333,0.6842105263157895,0.3880597014925373
lr,44,0.6929133858267716,0.4375,0.6363636363636364,0.5185185185185185
rf,44,0.6850393700787402,0.4583333333333333,0.6111111111111112,0.5238095238095238
knn,45,0.68,0.5,0.6,0.5454545454545454
svm,45,0.528,0.8541666666666666,0.44086021505376344,0.5815602836879432
nb,45,0.656,0.14583333333333334,0.7777777777777778,0.24561403508771928
lr,45,0.648,0.20833333333333334,0.625,0.3125
rf,45,0.624,0.625,0.5084745762711864,0.5607476635514018
knn,46,0.578125,0.3673469387755102,0.43902439024390244,0.4
svm,46,0.640625,0.24489795918367346,0.5714285714285714,0.34285714285714286
nb,46,0.65625,0.2653061224489796,0.6190476190476191,0.37142857142857144
lr,46,0.65625,0.32653061224489793,0.5925925925925926,0.42105263157894735
rf,46,0.6015625,0.4489795918367347,0.4782608695652174,0.4631578947368421
knn,47,0.6838235294117647,0.5263157894736842,0.6521739130434783,0.5825242718446602
svm,47,0.6029411764705882,0.07017543859649122,0.8,0.12903225806451613
nb,47,0.5955882352941176,0.08771929824561403,0.625,0.15384615384615385
lr,47,0.625,0.21052631578947367,0.6666666666666666,0.32
rf,47,0.7205882352941176,0.5789473684210527,0.7021276595744681,0.6346153846153846
knn,48,0.5581395348837209,0.30612244897959184,0.39473684210526316,0.3448275862068966
svm,48,0.5813953488372093,0.02040816326530612,0.14285714285714285,0.03571428571428571
nb,48,0.6356589147286822,0.14285714285714285,0.5833333333333334,0.22950819672131148
lr,48,0.5968992248062015,0.08163265306122448,0.36363636363636365,0.13333333333333333
rf,48,0.6666666666666666,0.4897959183673469,0.5714285714285714,0.5274725274725275
knn,49,0.6666666666666666,0.3684210526315789,0.7,0.4827586206896552
svm,49,0.6222222222222222,0.12280701754385964,0.875,0.2153846153846154
nb,49,0.6222222222222222,0.15789473684210525,0.75,0.2608695652173913
lr,49,0.6518518518518519,0.3508771929824561,0.6666666666666666,0.45977011494252873
rf,49,0.7037037037037037,0.5789473684210527,0.673469387755102,0.6226415094339622
knn,50,0.6141732283464567,0.3541666666666667,0.4857142857142857,0.40963855421686746
svm,50,0.6299212598425197,0.22916666666666666,0.5238095238095238,0.3188405797101449
nb,50,0.6377952755905512,0.1875,0.5625,0.28125
lr,50,0.5748031496062992,0.2708333333333333,0.40625,0.325
rf,50,0.6535433070866141,0.3333333333333333,0.5714285714285714,0.42105263157894735
knn,51,0.6015625,0.4489795918367347,0.4782608695652174,0.4631578947368421
svm,51,0.65625,0.16326530612244897,0.7272727272727273,0.26666666666666666
nb,51,0.6484375,0.1836734693877551,0.6428571428571429,0.2857142857142857
lr,51,0.609375,0.2653061224489796,0.48148148148148145,0.34210526315789475
rf,51,0.6484375,0.46938775510204084,0.5476190476190477,0.5054945054945055
