model,random_state,accuracy,recall,precision,f1_score
knn,42,0.5894736842105263,0.6938775510204082,0.5862068965517241,0.6355140186915887
svm,42,0.6421052631578947,0.7755102040816326,0.6229508196721312,0.6909090909090909
nb,42,0.6105263157894737,0.5306122448979592,0.65,0.5842696629213483
lr,42,0.5578947368421052,0.6530612244897959,0.5614035087719298,0.6037735849056604
rf,42,0.6736842105263158,0.8571428571428571,0.6363636363636364,0.7304347826086957
xgb,42,0.6842105263157895,0.8367346938775511,0.6507936507936508,0.7321428571428571
knn,43,0.6210526315789474,0.5531914893617021,0.6341463414634146,0.5909090909090909
svm,43,0.6421052631578947,0.8936170212765957,0.5915492957746479,0.711864406779661
nb,43,0.5894736842105263,0.5106382978723404,0.6,0.5517241379310345
lr,43,0.6105263157894737,0.8085106382978723,0.5757575757575758,0.672566371681416
rf,43,0.6631578947368421,0.6595744680851063,0.6595744680851063,0.6595744680851063
xgb,43,0.6421052631578947,0.851063829787234,0.5970149253731343,0.7017543859649122
knn,44,0.7204301075268817,0.6875,0.75,0.717391304347826
svm,44,0.6236559139784946,0.7083333333333334,0.6181818181818182,0.6601941747572816
nb,44,0.7204301075268817,0.625,0.7894736842105263,0.6976744186046512
lr,44,0.6236559139784946,0.5416666666666666,0.6666666666666666,0.5977011494252874
rf,44,0.7311827956989247,0.7916666666666666,0.7169811320754716,0.7524752475247525
xgb,44,0.7419354838709677,0.7916666666666666,0.7307692307692307,0.76
knn,45,0.5789473684210527,0.5833333333333334,0.5833333333333334,0.5833333333333334
svm,45,0.6105263157894737,0.7708333333333334,0.5873015873015873,0.6666666666666666
nb,45,0.5789473684210527,0.22916666666666666,0.7857142857142857,0.3548387096774194
lr,45,0.5684210526315789,0.5833333333333334,0.5714285714285714,0.5773195876288659
rf,45,0.6526315789473685,0.6875,0.6470588235294118,0.6666666666666666
xgb,45,0.7157894736842105,0.7291666666666666,0.7142857142857143,0.7216494845360825
knn,46,0.580952380952381,0.4897959183673469,0.5581395348837209,0.5217391304347826
svm,46,0.6095238095238096,0.6122448979591837,0.5769230769230769,0.594059405940594
nb,46,0.7142857142857143,0.6122448979591837,0.7317073170731707,0.6666666666666666
lr,46,0.6666666666666666,0.6122448979591837,0.6521739130434783,0.631578947368421
rf,46,0.6190476190476191,0.5102040816326531,0.6097560975609756,0.5555555555555556
xgb,46,0.6095238095238096,0.5510204081632653,0.5869565217391305,0.5684210526315789
knn,47,0.7254901960784313,0.8070175438596491,0.7301587301587301,0.7666666666666667
svm,47,0.6764705882352942,0.8947368421052632,0.6538461538461539,0.7555555555555555
nb,47,0.6764705882352942,0.7017543859649122,0.7142857142857143,0.7079646017699115
lr,47,0.6568627450980392,0.8245614035087719,0.6527777777777778,0.7286821705426356
rf,47,0.7352941176470589,0.8947368421052632,0.7083333333333334,0.7906976744186046
xgb,47,0.7156862745098039,0.9473684210526315,0.675,0.7883211678832117
knn,48,0.5769230769230769,0.5306122448979592,0.5531914893617021,0.5416666666666666
svm,48,0.6634615384615384,0.8979591836734694,0.5945945945945946,0.7154471544715447
nb,48,0.5865384615384616,0.5306122448979592,0.5652173913043478,0.5473684210526316
lr,48,0.6730769230769231,0.8163265306122449,0.6153846153846154,0.7017543859649122
rf,48,0.6826923076923077,0.7551020408163265,0.6379310344827587,0.6915887850467289
xgb,48,0.6057692307692307,0.5714285714285714,0.5833333333333334,0.5773195876288659
knn,49,0.7669902912621359,0.8421052631578947,0.7619047619047619,0.8
svm,49,0.6601941747572816,0.8245614035087719,0.6527777777777778,0.7286821705426356
nb,49,0.6116504854368932,0.43859649122807015,0.7575757575757576,0.5555555555555556
lr,49,0.5631067961165048,0.43859649122807015,0.6578947368421053,0.5263157894736842
rf,49,0.7669902912621359,0.8245614035087719,0.7704918032786885,0.7966101694915254
xgb,49,0.7669902912621359,0.8596491228070176,0.7538461538461538,0.8032786885245902
knn,50,0.6190476190476191,0.5625,0.5869565217391305,0.574468085106383
svm,50,0.6857142857142857,0.8333333333333334,0.6153846153846154,0.7079646017699115
nb,50,0.5714285714285714,0.375,0.5454545454545454,0.4444444444444444
lr,50,0.5523809523809524,0.4791666666666667,0.5111111111111111,0.4946236559139785
rf,50,0.7238095238095238,0.7291666666666666,0.6862745098039216,0.7070707070707071
xgb,50,0.7619047619047619,0.7291666666666666,0.7446808510638298,0.7368421052631579
knn,51,0.5480769230769231,0.42857142857142855,0.525,0.47191011235955055
svm,51,0.625,0.673469387755102,0.5892857142857143,0.6285714285714286
nb,51,0.6442307692307693,0.3877551020408163,0.7307692307692307,0.5066666666666667
lr,51,0.6057692307692307,0.5306122448979592,0.5909090909090909,0.5591397849462365
rf,51,0.7019230769230769,0.6122448979591837,0.7142857142857143,0.6593406593406593
xgb,51,0.6923076923076923,0.6530612244897959,0.6808510638297872,0.6666666666666666
