model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6105263157894737,0.6938775510204082,0.6071428571428571,0.6476190476190476
svm,42,0.5894736842105263,0.8163265306122449,0.5714285714285714,0.6722689075630253
nb,42,0.5894736842105263,0.5510204081632653,0.6136363636363636,0.5806451612903226
lr,42,0.5578947368421052,0.6530612244897959,0.5614035087719298,0.6037735849056604
rf,42,0.6631578947368421,0.8979591836734694,0.6197183098591549,0.7333333333333333
xgb,42,0.6947368421052632,0.8775510204081632,0.6515151515151515,0.7478260869565218
knn,43,0.6421052631578947,0.5319148936170213,0.6756756756756757,0.5952380952380952
svm,43,0.6842105263157895,1.0,0.6103896103896104,0.7580645161290323
nb,43,0.6210526315789474,0.723404255319149,0.5964912280701754,0.6538461538461539
lr,43,0.5894736842105263,0.8085106382978723,0.5588235294117647,0.6608695652173913
rf,43,0.7368421052631579,0.851063829787234,0.6896551724137931,0.7619047619047619
xgb,43,0.5894736842105263,0.6595744680851063,0.5740740740740741,0.6138613861386139
knn,44,0.5698924731182796,0.3958333333333333,0.6333333333333333,0.48717948717948717
svm,44,0.6236559139784946,0.7291666666666666,0.6140350877192983,0.6666666666666666
nb,44,0.6236559139784946,0.5208333333333334,0.6756756756756757,0.5882352941176471
lr,44,0.6451612903225806,0.5833333333333334,0.6829268292682927,0.6292134831460674
rf,44,0.6774193548387096,0.7083333333333334,0.68,0.6938775510204082
xgb,44,0.6559139784946236,0.6875,0.66,0.673469387755102
knn,45,0.6210526315789474,0.5416666666666666,0.65,0.5909090909090909
svm,45,0.6842105263157895,0.9375,0.625,0.75
nb,45,0.5368421052631579,0.4375,0.5526315789473685,0.4883720930232558
lr,45,0.5368421052631579,0.5,0.5454545454545454,0.5217391304347826
rf,45,0.7263157894736842,0.7291666666666666,0.7291666666666666,0.7291666666666666
xgb,45,0.7578947368421053,0.8958333333333334,0.7049180327868853,0.7889908256880734
knn,46,0.638095238095238,0.5918367346938775,0.6170212765957447,0.6041666666666666
svm,46,0.6476190476190476,0.7346938775510204,0.6,0.6605504587155964
nb,46,0.6761904761904762,0.5510204081632653,0.6923076923076923,0.6136363636363636
lr,46,0.6571428571428571,0.5714285714285714,0.6511627906976745,0.6086956521739131
rf,46,0.6857142857142857,0.6122448979591837,0.6818181818181818,0.6451612903225806
xgb,46,0.6476190476190476,0.6326530612244898,0.62,0.6262626262626263
knn,47,0.6764705882352942,0.7543859649122807,0.6935483870967742,0.7226890756302521
svm,47,0.6470588235294118,0.8771929824561403,0.6329113924050633,0.7352941176470589
nb,47,0.6764705882352942,0.7368421052631579,0.7,0.717948717948718
lr,47,0.6862745098039216,0.8245614035087719,0.6811594202898551,0.746031746031746
rf,47,0.7450980392156863,0.8947368421052632,0.7183098591549296,0.796875
xgb,47,0.7843137254901961,0.9473684210526315,0.7397260273972602,0.8307692307692308
knn,48,0.6153846153846154,0.4897959183673469,0.6153846153846154,0.5454545454545454
svm,48,0.6538461538461539,0.8979591836734694,0.5866666666666667,0.7096774193548387
nb,48,0.5961538461538461,0.7142857142857143,0.5555555555555556,0.625
lr,48,0.6730769230769231,0.7959183673469388,0.6190476190476191,0.6964285714285714
rf,48,0.6153846153846154,0.5306122448979592,0.6046511627906976,0.5652173913043478
xgb,48,0.6634615384615384,0.7142857142857143,0.625,0.6666666666666666
knn,49,0.6990291262135923,0.7719298245614035,0.7096774193548387,0.7394957983193278
svm,49,0.6504854368932039,0.8070175438596491,0.647887323943662,0.71875
nb,49,0.5242718446601942,0.3157894736842105,0.6428571428571429,0.4235294117647059
lr,49,0.5436893203883495,0.38596491228070173,0.6470588235294118,0.4835164835164835
rf,49,0.7378640776699029,0.7719298245614035,0.7586206896551724,0.7652173913043478
xgb,49,0.7184466019417476,0.7719298245614035,0.7333333333333333,0.7521367521367521
knn,50,0.6285714285714286,0.5625,0.6,0.5806451612903226
svm,50,0.6857142857142857,0.8541666666666666,0.6119402985074627,0.7130434782608696
nb,50,0.49523809523809526,0.3125,0.42857142857142855,0.3614457831325301
lr,50,0.5333333333333333,0.4375,0.4883720930232558,0.46153846153846156
rf,50,0.6952380952380952,0.6458333333333334,0.6739130434782609,0.6595744680851063
xgb,50,0.6666666666666666,0.625,0.6382978723404256,0.631578947368421
knn,51,0.6153846153846154,0.5918367346938775,0.5918367346938775,0.5918367346938775
svm,51,0.6442307692307693,0.7551020408163265,0.5967741935483871,0.6666666666666666
nb,51,0.6153846153846154,0.4489795918367347,0.6285714285714286,0.5238095238095238
lr,51,0.5961538461538461,0.4897959183673469,0.5853658536585366,0.5333333333333333
rf,51,0.7211538461538461,0.6938775510204082,0.7083333333333334,0.7010309278350515
xgb,51,0.7115384615384616,0.6938775510204082,0.6938775510204082,0.6938775510204082
