model,random_state,accuracy,recall,precision,f1_score
knn,42,0.5851063829787234,0.425,0.5151515151515151,0.4657534246575342
svm,42,0.6276595744680851,0.375,0.6,0.46153846153846156
nb,42,0.5531914893617021,0.25,0.45454545454545453,0.3225806451612903
lr,42,0.648936170212766,0.35,0.6666666666666666,0.45901639344262296
rf,42,0.6382978723404256,0.325,0.65,0.43333333333333335
knn,43,0.4959349593495935,0.2765957446808511,0.3170731707317073,0.29545454545454547
svm,43,0.5284552845528455,0.8936170212765957,0.4421052631578947,0.5915492957746479
nb,43,0.6260162601626016,0.7446808510638298,0.5072463768115942,0.603448275862069
lr,43,0.6991869918699187,0.723404255319149,0.5862068965517241,0.6476190476190476
rf,43,0.6910569105691057,0.6595744680851063,0.5849056603773585,0.62
knn,44,0.6198347107438017,0.425531914893617,0.5128205128205128,0.46511627906976744
svm,44,0.7024793388429752,0.40425531914893614,0.7037037037037037,0.5135135135135135
nb,44,0.6363636363636364,0.0851063829787234,0.8,0.15384615384615385
lr,44,0.6776859504132231,0.2978723404255319,0.7,0.417910447761194
rf,44,0.8016528925619835,0.6595744680851063,0.7948717948717948,0.7209302325581395
knn,45,0.49572649572649574,0.30434782608695654,0.34146341463414637,0.3218390804597701
svm,45,0.6410256410256411,0.2826086956521739,0.5909090909090909,0.38235294117647056
nb,45,0.6581196581196581,0.2826086956521739,0.65,0.3939393939393939
lr,45,0.6837606837606838,0.391304347826087,0.6666666666666666,0.4931506849315068
rf,45,0.6068376068376068,0.34782608695652173,0.5,0.41025641025641024
knn,46,0.68,0.48936170212765956,0.5897435897435898,0.5348837209302325
svm,46,0.696,0.2765957446808511,0.7647058823529411,0.40625
nb,46,0.648,0.10638297872340426,0.7142857142857143,0.18518518518518517
lr,46,0.68,0.2127659574468085,0.7692307692307693,0.3333333333333333
rf,46,0.76,0.6382978723404256,0.6976744186046512,0.6666666666666666
knn,47,0.5151515151515151,0.19298245614035087,0.3793103448275862,0.2558139534883721
svm,47,0.6212121212121212,0.17543859649122806,0.7692307692307693,0.2857142857142857
nb,47,0.5757575757575758,0.03508771929824561,0.6666666666666666,0.06666666666666667
lr,47,0.5984848484848485,0.10526315789473684,0.75,0.18461538461538463
rf,47,0.6515151515151515,0.2807017543859649,0.7619047619047619,0.41025641025641024
knn,48,0.5658914728682171,0.3469387755102041,0.4146341463414634,0.37777777777777777
svm,48,0.5736434108527132,0.6122448979591837,0.45454545454545453,0.5217391304347826
nb,48,0.5658914728682171,0.5102040816326531,0.43859649122807015,0.4716981132075472
lr,48,0.6744186046511628,0.3673469387755102,0.6206896551724138,0.46153846153846156
rf,48,0.7209302325581395,0.6938775510204082,0.6181818181818182,0.6538461538461539
knn,49,0.5798319327731093,0.3148148148148148,0.5666666666666667,0.40476190476190477
svm,49,0.5966386554621849,0.12962962962962962,0.875,0.22580645161290322
nb,49,0.5714285714285714,0.09259259259259259,0.7142857142857143,0.16393442622950818
lr,49,0.6134453781512605,0.2037037037037037,0.7857142857142857,0.3235294117647059
rf,49,0.6890756302521008,0.42592592592592593,0.7931034482758621,0.5542168674698795
knn,50,0.5691056910569106,0.34782608695652173,0.41025641025641024,0.3764705882352941
svm,50,0.6260162601626016,0.21739130434782608,0.5,0.30303030303030304
nb,50,0.6504065040650406,0.06521739130434782,1.0,0.12244897959183673
lr,50,0.6260162601626016,0.17391304347826086,0.5,0.25806451612903225
rf,50,0.6747967479674797,0.5217391304347826,0.5714285714285714,0.5454545454545454
knn,51,0.5454545454545454,0.3125,0.40540540540540543,0.35294117647058826
svm,51,0.6363636363636364,0.14583333333333334,0.7,0.2413793103448276
nb,51,0.6198347107438017,0.08333333333333333,0.6666666666666666,0.14814814814814814
lr,51,0.6776859504132231,0.22916666666666666,0.8461538461538461,0.36065573770491804
rf,51,0.7520661157024794,0.5,0.8,0.6153846153846154
