model,random_state,accuracy,recall,precision,f1_score
knn,42,0.5517241379310345,1.0,0.5517241379310345,0.7111111111111111
svm,42,0.5172413793103449,0.9375,0.5357142857142857,0.6818181818181818
nb,42,0.6206896551724138,0.8125,0.6190476190476191,0.7027027027027027
lr,42,0.5517241379310345,1.0,0.5517241379310345,0.7111111111111111
rf,42,0.5517241379310345,0.9375,0.5555555555555556,0.6976744186046512
knn,43,0.8947368421052632,0.9333333333333333,0.9333333333333333,0.9333333333333333
svm,43,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
nb,43,0.8947368421052632,1.0,0.8823529411764706,0.9375
lr,43,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
rf,43,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
knn,44,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
svm,44,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
nb,44,0.7368421052631579,0.9333333333333333,0.7777777777777778,0.8484848484848485
lr,44,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
rf,44,0.7894736842105263,1.0,0.7894736842105263,0.8823529411764706
knn,45,0.6666666666666666,0.875,0.7,0.7777777777777778
svm,45,0.5,0.5,0.6666666666666666,0.5714285714285714
nb,45,0.6666666666666666,0.75,0.75,0.75
lr,45,0.6666666666666666,1.0,0.6666666666666666,0.8
rf,45,0.6666666666666666,1.0,0.6666666666666666,0.8
knn,46,0.7,1.0,0.7,0.8235294117647058
svm,46,0.6,0.8571428571428571,0.6666666666666666,0.75
nb,46,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
lr,46,0.5,0.7142857142857143,0.625,0.6666666666666666
rf,46,0.6,0.8571428571428571,0.6666666666666666,0.75
knn,47,0.7058823529411765,1.0,0.6875,0.8148148148148148
svm,47,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142857
nb,47,0.7058823529411765,1.0,0.6875,0.8148148148148148
lr,47,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142857
rf,47,0.7058823529411765,1.0,0.6875,0.8148148148148148
knn,48,0.6956521739130435,0.8125,0.7647058823529411,0.7878787878787878
svm,48,0.6956521739130435,1.0,0.6956521739130435,0.8205128205128205
nb,48,0.782608695652174,0.9375,0.7894736842105263,0.8571428571428571
lr,48,0.6956521739130435,1.0,0.6956521739130435,0.8205128205128205
rf,48,0.6956521739130435,1.0,0.6956521739130435,0.8205128205128205
knn,49,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348
svm,49,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348
nb,49,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
lr,49,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348
rf,49,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
knn,50,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174
svm,50,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174
nb,50,0.5714285714285714,0.8888888888888888,0.6153846153846154,0.7272727272727273
lr,50,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174
rf,50,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174
knn,51,0.6428571428571429,0.9,0.6923076923076923,0.782608695652174
svm,51,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334
nb,51,0.6428571428571429,0.8,0.7272727272727273,0.7619047619047619
lr,51,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334
rf,51,0.6428571428571429,0.7,0.7777777777777778,0.7368421052631579
