model,random_state,accuracy,recall,precision,f1_score
knn,42,0.574468085106383,1.0,0.5348837209302325,0.696969696969697
svm,42,0.5106382978723404,0.9130434782608695,0.5,0.6461538461538462
nb,42,0.6595744680851063,0.9130434782608695,0.6,0.7241379310344828
lr,42,0.48936170212765956,0.9565217391304348,0.4888888888888889,0.6470588235294118
rf,42,0.5531914893617021,1.0,0.5227272727272727,0.6865671641791045
knn,43,0.5833333333333334,0.6333333333333333,0.5757575757575758,0.6031746031746031
svm,43,0.5,1.0,0.5,0.6666666666666666
nb,43,0.48333333333333334,0.7333333333333333,0.4888888888888889,0.5866666666666667
lr,43,0.5333333333333333,1.0,0.5172413793103449,0.6818181818181818
rf,43,0.4666666666666667,0.6,0.47368421052631576,0.5294117647058824
knn,44,0.6842105263157895,0.8275862068965517,0.7741935483870968,0.8
svm,44,0.7631578947368421,1.0,0.7631578947368421,0.8656716417910447
nb,44,0.6052631578947368,0.7586206896551724,0.7333333333333333,0.7457627118644068
lr,44,0.7631578947368421,0.9655172413793104,0.7777777777777778,0.8615384615384616
rf,44,0.7368421052631579,0.896551724137931,0.7878787878787878,0.8387096774193549
knn,45,0.47058823529411764,0.5833333333333334,0.6363636363636364,0.6086956521739131
svm,45,0.7058823529411765,1.0,0.7058823529411765,0.8275862068965517
nb,45,0.6470588235294118,0.8333333333333334,0.7142857142857143,0.7692307692307693
lr,45,0.7647058823529411,1.0,0.75,0.8571428571428571
rf,45,0.6470588235294118,0.75,0.75,0.75
knn,46,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778
svm,46,0.7916666666666666,1.0,0.782608695652174,0.8780487804878049
nb,46,0.625,0.6666666666666666,0.8,0.7272727272727273
lr,46,0.7083333333333334,0.9444444444444444,0.7391304347826086,0.8292682926829268
rf,46,0.625,0.7777777777777778,0.7368421052631579,0.7567567567567568
knn,47,0.5833333333333334,0.7111111111111111,0.6530612244897959,0.6808510638297872
svm,47,0.625,1.0,0.625,0.7692307692307693
nb,47,0.5694444444444444,0.6888888888888889,0.6458333333333334,0.6666666666666666
lr,47,0.6666666666666666,1.0,0.6521739130434783,0.7894736842105263
rf,47,0.6388888888888888,0.6888888888888889,0.7209302325581395,0.7045454545454546
knn,48,0.5151515151515151,0.5882352941176471,0.5263157894736842,0.5555555555555556
svm,48,0.5303030303030303,1.0,0.5230769230769231,0.6868686868686869
nb,48,0.4393939393939394,0.5882352941176471,0.46511627906976744,0.5194805194805194
lr,48,0.5303030303030303,0.9411764705882353,0.5245901639344263,0.6736842105263158
rf,48,0.48484848484848486,0.5294117647058824,0.5,0.5142857142857142
knn,49,0.6785714285714286,0.782608695652174,0.8181818181818182,0.8
svm,49,0.8214285714285714,1.0,0.8214285714285714,0.9019607843137255
nb,49,0.5714285714285714,0.5652173913043478,0.8666666666666667,0.6842105263157895
lr,49,0.8571428571428571,0.9565217391304348,0.88,0.9166666666666666
rf,49,0.8214285714285714,0.9565217391304348,0.8461538461538461,0.8979591836734694
knn,50,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.55
svm,50,0.6551724137931034,1.0,0.6296296296296297,0.7727272727272727
nb,50,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.55
lr,50,0.5862068965517241,0.8823529411764706,0.6,0.7142857142857143
rf,50,0.5172413793103449,0.7647058823529411,0.5652173913043478,0.65
knn,51,0.5,0.5882352941176471,0.6666666666666666,0.625
svm,51,0.75,1.0,0.7391304347826086,0.85
nb,51,0.5416666666666666,0.6470588235294118,0.6875,0.6666666666666666
lr,51,0.75,0.8823529411764706,0.7894736842105263,0.8333333333333334
rf,51,0.5833333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222
