model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6078431372549019,0.96,0.5581395348837209,0.7058823529411765
svm,42,0.5098039215686274,0.0,0.0,0.0
nb,42,0.6470588235294118,0.96,0.5853658536585366,0.7272727272727273
lr,42,0.6274509803921569,1.0,0.5681818181818182,0.7246376811594203
rf,42,0.6666666666666666,0.92,0.6052631578947368,0.7301587301587301
knn,43,0.6268656716417911,0.5714285714285714,0.5517241379310345,0.5614035087719298
svm,43,0.417910447761194,1.0,0.417910447761194,0.5894736842105263
nb,43,0.417910447761194,0.32142857142857145,0.3103448275862069,0.3157894736842105
lr,43,0.5970149253731343,0.07142857142857142,0.6666666666666666,0.12903225806451613
rf,43,0.6268656716417911,0.6428571428571429,0.5454545454545454,0.5901639344262295
knn,44,0.4666666666666667,0.4782608695652174,0.7333333333333333,0.5789473684210527
svm,44,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018868
nb,44,0.6666666666666666,0.8260869565217391,0.76,0.7916666666666666
lr,44,0.7,0.8695652173913043,0.7692307692307693,0.8163265306122449
rf,44,0.5333333333333333,0.6521739130434783,0.7142857142857143,0.6818181818181818
knn,45,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061
svm,45,0.5652173913043478,1.0,0.5652173913043478,0.7222222222222222
nb,45,0.4782608695652174,0.7692307692307693,0.5263157894736842,0.625
lr,45,0.5652173913043478,0.9230769230769231,0.5714285714285714,0.7058823529411765
rf,45,0.6521739130434783,0.8461538461538461,0.6470588235294118,0.7333333333333333
knn,46,0.5,0.6111111111111112,0.7333333333333333,0.6666666666666666
svm,46,0.7727272727272727,0.9444444444444444,0.8095238095238095,0.8717948717948718
nb,46,0.6363636363636364,0.7222222222222222,0.8125,0.7647058823529411
lr,46,0.5,0.5555555555555556,0.7692307692307693,0.6451612903225806
rf,46,0.5,0.5555555555555556,0.7692307692307693,0.6451612903225806
knn,47,0.5657894736842105,0.5454545454545454,0.6486486486486487,0.5925925925925926
svm,47,0.5921052631578947,1.0,0.5866666666666667,0.7394957983193278
nb,47,0.6052631578947368,0.7727272727272727,0.6296296296296297,0.6938775510204082
lr,47,0.5131578947368421,0.22727272727272727,0.7692307692307693,0.3508771929824561
rf,47,0.631578947368421,0.5227272727272727,0.7666666666666667,0.6216216216216216
knn,48,0.56,0.5,0.5151515151515151,0.5074626865671642
svm,48,0.56,0.9705882352941176,0.5076923076923077,0.6666666666666666
nb,48,0.4666666666666667,0.5,0.425,0.4594594594594595
lr,48,0.5866666666666667,0.7647058823529411,0.5306122448979592,0.6265060240963856
rf,48,0.56,0.5294117647058824,0.5142857142857142,0.5217391304347826
knn,49,0.6363636363636364,0.6842105263157895,0.8666666666666667,0.7647058823529411
svm,49,0.7272727272727273,0.7368421052631579,0.9333333333333333,0.8235294117647058
nb,49,0.5909090909090909,0.631578947368421,0.8571428571428571,0.7272727272727273
lr,49,0.8636363636363636,0.8947368421052632,0.9444444444444444,0.918918918918919
rf,49,0.7727272727272727,0.8421052631578947,0.8888888888888888,0.8648648648648649
knn,50,0.42857142857142855,0.5882352941176471,0.5263157894736842,0.5555555555555556
svm,50,0.4642857142857143,0.7647058823529411,0.5416666666666666,0.6341463414634146
nb,50,0.42857142857142855,0.6470588235294118,0.5238095238095238,0.5789473684210527
lr,50,0.42857142857142855,0.6470588235294118,0.5238095238095238,0.5789473684210527
rf,50,0.42857142857142855,0.6470588235294118,0.5238095238095238,0.5789473684210527
knn,51,0.5185185185185185,0.6842105263157895,0.65,0.6666666666666666
svm,51,0.5925925925925926,0.8421052631578947,0.6666666666666666,0.7441860465116279
nb,51,0.48148148148148145,0.6842105263157895,0.6190476190476191,0.65
lr,51,0.5555555555555556,0.7894736842105263,0.6521739130434783,0.7142857142857143
rf,51,0.5925925925925926,0.7368421052631579,0.7,0.717948717948718
