model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6356589147286822,0.5918367346938775,0.5178571428571429,0.5523809523809524
svm,42,0.5736434108527132,0.7755102040816326,0.4634146341463415,0.5801526717557252
nb,42,0.6589147286821705,0.5102040816326531,0.5555555555555556,0.5319148936170213
lr,42,0.6666666666666666,0.5306122448979592,0.5652173913043478,0.5473684210526316
rf,42,0.6976744186046512,0.7346938775510204,0.5806451612903226,0.6486486486486487
knn,43,0.6377952755905512,0.46808510638297873,0.5116279069767442,0.4888888888888889
svm,43,0.6299212598425197,0.44680851063829785,0.5,0.47191011235955055
nb,43,0.6220472440944882,0.5531914893617021,0.49056603773584906,0.52
lr,43,0.6614173228346457,0.2765957446808511,0.5909090909090909,0.37681159420289856
rf,43,0.6535433070866141,0.574468085106383,0.5294117647058824,0.5510204081632653
knn,44,0.6456692913385826,0.375,0.5454545454545454,0.4444444444444444
svm,44,0.6771653543307087,0.6875,0.559322033898305,0.616822429906542
nb,44,0.7322834645669292,0.4791666666666667,0.71875,0.575
lr,44,0.7244094488188977,0.4791666666666667,0.696969696969697,0.5679012345679012
rf,44,0.7007874015748031,0.5,0.631578947368421,0.5581395348837209
knn,45,0.592,0.3333333333333333,0.45714285714285713,0.3855421686746988
svm,45,0.656,0.6458333333333334,0.543859649122807,0.5904761904761905
nb,45,0.656,0.25,0.631578947368421,0.3582089552238806
lr,45,0.648,0.22916666666666666,0.6111111111111112,0.3333333333333333
rf,45,0.6,0.5208333333333334,0.4807692307692308,0.5
knn,46,0.6171875,0.3673469387755102,0.5,0.4235294117647059
svm,46,0.671875,0.22448979591836735,0.7333333333333333,0.34375
nb,46,0.6953125,0.3877551020408163,0.6785714285714286,0.4935064935064935
lr,46,0.6484375,0.2857142857142857,0.5833333333333334,0.3835616438356164
rf,46,0.625,0.40816326530612246,0.5128205128205128,0.45454545454545453
knn,47,0.7132352941176471,0.6491228070175439,0.6607142857142857,0.6548672566371682
svm,47,0.6544117647058824,0.8947368421052632,0.5543478260869565,0.6845637583892618
nb,47,0.7352941176470589,0.7192982456140351,0.6721311475409836,0.6949152542372882
lr,47,0.625,0.3508771929824561,0.5882352941176471,0.43956043956043955
rf,47,0.7426470588235294,0.5263157894736842,0.7894736842105263,0.631578947368421
knn,48,0.6201550387596899,0.40816326530612246,0.5,0.449438202247191
svm,48,0.5891472868217055,0.7959183673469388,0.47560975609756095,0.5954198473282443
nb,48,0.6356589147286822,0.6530612244897959,0.5161290322580645,0.5765765765765766
lr,48,0.5581395348837209,0.1836734693877551,0.34615384615384615,0.24
rf,48,0.6201550387596899,0.42857142857142855,0.5,0.46153846153846156
knn,49,0.7333333333333333,0.5087719298245614,0.7837837837837838,0.6170212765957447
svm,49,0.7111111111111111,0.3333333333333333,0.95,0.4935064935064935
nb,49,0.7111111111111111,0.3684210526315789,0.875,0.5185185185185185
lr,49,0.6592592592592592,0.3684210526315789,0.6774193548387096,0.4772727272727273
rf,49,0.7703703703703704,0.6491228070175439,0.7708333333333334,0.7047619047619048
knn,50,0.6456692913385826,0.4375,0.5384615384615384,0.4827586206896552
svm,50,0.6062992125984252,0.1875,0.45,0.2647058823529412
nb,50,0.6299212598425197,0.25,0.5217391304347826,0.3380281690140845
lr,50,0.6062992125984252,0.2708333333333333,0.4642857142857143,0.34210526315789475
rf,50,0.6614173228346457,0.375,0.5806451612903226,0.45569620253164556
knn,51,0.5546875,0.3469387755102041,0.40476190476190477,0.37362637362637363
svm,51,0.6640625,0.6326530612244898,0.5535714285714286,0.5904761904761905
nb,51,0.671875,0.3469387755102041,0.6296296296296297,0.4473684210526316
lr,51,0.625,0.46938775510204084,0.5111111111111111,0.48936170212765956
rf,51,0.671875,0.5306122448979592,0.5777777777777777,0.5531914893617021
