model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6201550387596899,0.5306122448979592,0.5,0.5148514851485149
svm,42,0.627906976744186,0.3877551020408163,0.5135135135135135,0.4418604651162791
nb,42,0.6666666666666666,0.4897959183673469,0.5714285714285714,0.5274725274725275
lr,42,0.6511627906976745,0.5306122448979592,0.5416666666666666,0.5360824742268041
rf,42,0.689922480620155,0.6326530612244898,0.5849056603773585,0.6078431372549019
knn,43,0.6377952755905512,0.40425531914893614,0.5135135135135135,0.4523809523809524
svm,43,0.7244094488188977,0.3191489361702128,0.8333333333333334,0.46153846153846156
nb,43,0.6456692913385826,0.0425531914893617,1.0,0.08163265306122448
lr,43,0.7007874015748031,0.2127659574468085,0.9090909090909091,0.3448275862068966
rf,43,0.7086614173228346,0.5319148936170213,0.625,0.5747126436781609
knn,44,0.6771653543307087,0.4166666666666667,0.6060606060606061,0.49382716049382713
svm,44,0.6692913385826772,0.20833333333333334,0.7142857142857143,0.3225806451612903
nb,44,0.6771653543307087,0.2708333333333333,0.6842105263157895,0.3880597014925373
lr,44,0.7244094488188977,0.4791666666666667,0.696969696969697,0.5679012345679012
rf,44,0.6614173228346457,0.4583333333333333,0.5641025641025641,0.5057471264367817
knn,45,0.664,0.4583333333333333,0.5789473684210527,0.5116279069767442
svm,45,0.648,0.8125,0.527027027027027,0.639344262295082
nb,45,0.648,0.14583333333333334,0.7,0.2413793103448276
lr,45,0.64,0.20833333333333334,0.5882352941176471,0.3076923076923077
rf,45,0.616,0.5625,0.5,0.5294117647058824
knn,46,0.59375,0.40816326530612246,0.46511627906976744,0.43478260869565216
svm,46,0.546875,0.40816326530612246,0.40816326530612246,0.40816326530612246
nb,46,0.65625,0.2653061224489796,0.6190476190476191,0.37142857142857144
lr,46,0.6484375,0.30612244897959184,0.5769230769230769,0.4
rf,46,0.6328125,0.4897959183673469,0.5217391304347826,0.5052631578947369
knn,47,0.6985294117647058,0.543859649122807,0.6739130434782609,0.6019417475728155
svm,47,0.6397058823529411,0.5789473684210527,0.5689655172413793,0.5739130434782609
nb,47,0.5955882352941176,0.08771929824561403,0.625,0.15384615384615385
lr,47,0.625,0.21052631578947367,0.6666666666666666,0.32
rf,47,0.7279411764705882,0.6140350877192983,0.7,0.6542056074766355
knn,48,0.5968992248062015,0.4489795918367347,0.46808510638297873,0.4583333333333333
svm,48,0.5736434108527132,0.0,0.0,0.0
nb,48,0.6124031007751938,0.061224489795918366,0.42857142857142855,0.10714285714285714
lr,48,0.5813953488372093,0.08163265306122448,0.3076923076923077,0.12903225806451613
rf,48,0.6666666666666666,0.5102040816326531,0.5681818181818182,0.5376344086021505
knn,49,0.6814814814814815,0.38596491228070173,0.7333333333333333,0.5057471264367817
svm,49,0.6296296296296297,0.14035087719298245,0.8888888888888888,0.24242424242424243
nb,49,0.6296296296296297,0.17543859649122806,0.7692307692307693,0.2857142857142857
lr,49,0.6518518518518519,0.3508771929824561,0.6666666666666666,0.45977011494252873
rf,49,0.6962962962962963,0.5614035087719298,0.6666666666666666,0.6095238095238096
knn,50,0.6456692913385826,0.4375,0.5384615384615384,0.4827586206896552
svm,50,0.6299212598425197,0.1875,0.5294117647058824,0.27692307692307694
nb,50,0.6377952755905512,0.1875,0.5625,0.28125
lr,50,0.5748031496062992,0.2708333333333333,0.40625,0.325
rf,50,0.6456692913385826,0.2916666666666667,0.56,0.3835616438356164
knn,51,0.5859375,0.40816326530612246,0.45454545454545453,0.43010752688172044
svm,51,0.65625,0.5714285714285714,0.5490196078431373,0.56
nb,51,0.640625,0.1836734693877551,0.6,0.28125
lr,51,0.625,0.2857142857142857,0.5185185185185185,0.3684210526315789
rf,51,0.625,0.46938775510204084,0.5111111111111111,0.48936170212765956
