model,random_state,accuracy,recall,precision,f1_score
knn,42,0.627906976744186,0.5510204081632653,0.5094339622641509,0.5294117647058824
svm,42,0.5736434108527132,0.7346938775510204,0.46153846153846156,0.5669291338582677
nb,42,0.6356589147286822,0.4897959183673469,0.5217391304347826,0.5052631578947369
lr,42,0.6821705426356589,0.5306122448979592,0.5909090909090909,0.5591397849462365
rf,42,0.6511627906976745,0.6122448979591837,0.5357142857142857,0.5714285714285714
knn,43,0.6377952755905512,0.44680851063829785,0.5121951219512195,0.4772727272727273
svm,43,0.6220472440944882,0.46808510638297873,0.4888888888888889,0.4782608695652174
nb,43,0.6141732283464567,0.44680851063829785,0.4772727272727273,0.46153846153846156
lr,43,0.6062992125984252,0.2553191489361702,0.4444444444444444,0.32432432432432434
rf,43,0.6141732283464567,0.46808510638297873,0.4782608695652174,0.4731182795698925
knn,44,0.6929133858267716,0.5,0.6153846153846154,0.5517241379310345
svm,44,0.6771653543307087,0.7291666666666666,0.5555555555555556,0.6306306306306306
nb,44,0.7322834645669292,0.5,0.7058823529411765,0.5853658536585366
lr,44,0.7086614173228346,0.4583333333333333,0.6666666666666666,0.5432098765432098
rf,44,0.7401574803149606,0.6041666666666666,0.6744186046511628,0.6373626373626373
knn,45,0.6,0.2916666666666667,0.4666666666666667,0.358974358974359
svm,45,0.696,0.6875,0.5892857142857143,0.6346153846153846
nb,45,0.664,0.20833333333333334,0.7142857142857143,0.3225806451612903
lr,45,0.672,0.25,0.7058823529411765,0.36923076923076925
rf,45,0.608,0.5,0.4897959183673469,0.4948453608247423
knn,46,0.609375,0.3469387755102041,0.4857142857142857,0.40476190476190477
svm,46,0.6796875,0.22448979591836735,0.7857142857142857,0.3492063492063492
nb,46,0.703125,0.3673469387755102,0.72,0.4864864864864865
lr,46,0.671875,0.32653061224489793,0.64,0.43243243243243246
rf,46,0.6328125,0.3673469387755102,0.5294117647058824,0.43373493975903615
knn,47,0.7205882352941176,0.6666666666666666,0.6666666666666666,0.6666666666666666
svm,47,0.6617647058823529,0.8771929824561403,0.5617977528089888,0.684931506849315
nb,47,0.7426470588235294,0.6666666666666666,0.7037037037037037,0.6846846846846847
lr,47,0.6323529411764706,0.21052631578947367,0.7058823529411765,0.32432432432432434
rf,47,0.75,0.631578947368421,0.7346938775510204,0.6792452830188679
knn,48,0.5968992248062015,0.3877551020408163,0.4634146341463415,0.4222222222222222
svm,48,0.5968992248062015,0.2857142857142857,0.45161290322580644,0.35
nb,48,0.6201550387596899,0.4897959183673469,0.5,0.4948453608247423
lr,48,0.5658914728682171,0.22448979591836735,0.3793103448275862,0.28205128205128205
rf,48,0.6124031007751938,0.40816326530612246,0.4878048780487805,0.4444444444444444
knn,49,0.7111111111111111,0.43859649122807015,0.78125,0.5617977528089888
svm,49,0.7037037037037037,0.3333333333333333,0.9047619047619048,0.48717948717948717
nb,49,0.7111111111111111,0.38596491228070173,0.8461538461538461,0.5301204819277109
lr,49,0.6518518518518519,0.3333333333333333,0.6785714285714286,0.4470588235294118
rf,49,0.7407407407407407,0.49122807017543857,0.8235294117647058,0.6153846153846154
knn,50,0.6220472440944882,0.375,0.5,0.42857142857142855
svm,50,0.6299212598425197,0.22916666666666666,0.5238095238095238,0.3188405797101449
nb,50,0.6299212598425197,0.2708333333333333,0.52,0.3561643835616438
lr,50,0.5748031496062992,0.25,0.4,0.3076923076923077
rf,50,0.6614173228346457,0.3333333333333333,0.5925925925925926,0.4266666666666667
knn,51,0.5625,0.30612244897959184,0.40540540540540543,0.3488372093023256
svm,51,0.6796875,0.6530612244897959,0.5714285714285714,0.6095238095238096
nb,51,0.6796875,0.2857142857142857,0.7,0.4057971014492754
lr,51,0.6640625,0.2857142857142857,0.6363636363636364,0.39436619718309857
rf,51,0.6640625,0.42857142857142855,0.5833333333333334,0.49411764705882355
