model,random_state,accuracy,recall,precision,f1_score
knn,42,0.6736842105263158,0.7551020408163265,0.6607142857142857,0.7047619047619048
svm,42,0.631578947368421,0.7755102040816326,0.6129032258064516,0.6846846846846847
nb,42,0.6526315789473685,0.5306122448979592,0.7222222222222222,0.611764705882353
lr,42,0.5578947368421052,0.6530612244897959,0.5614035087719298,0.6037735849056604
rf,42,0.6631578947368421,0.8979591836734694,0.6197183098591549,0.7333333333333333
xgb,42,0.6736842105263158,0.8163265306122449,0.6451612903225806,0.7207207207207207
knn,43,0.6526315789473685,0.574468085106383,0.675,0.6206896551724138
svm,43,0.6631578947368421,0.8085106382978723,0.6229508196721312,0.7037037037037037
nb,43,0.6631578947368421,0.5957446808510638,0.6829268292682927,0.6363636363636364
lr,43,0.6210526315789474,0.7659574468085106,0.5901639344262295,0.6666666666666666
rf,43,0.7157894736842105,0.8723404255319149,0.6612903225806451,0.7522935779816514
xgb,43,0.631578947368421,0.9361702127659575,0.5789473684210527,0.7154471544715447
knn,44,0.5698924731182796,0.4166666666666667,0.625,0.5
svm,44,0.5913978494623656,0.5208333333333334,0.625,0.5681818181818182
nb,44,0.6559139784946236,0.5,0.75,0.6
lr,44,0.6236559139784946,0.5416666666666666,0.6666666666666666,0.5977011494252874
rf,44,0.6881720430107527,0.75,0.6792452830188679,0.7128712871287128
xgb,44,0.6559139784946236,0.6666666666666666,0.6666666666666666,0.6666666666666666
knn,45,0.6421052631578947,0.7083333333333334,0.6296296296296297,0.6666666666666666
svm,45,0.6526315789473685,0.6041666666666666,0.6744186046511628,0.6373626373626373
nb,45,0.5789473684210527,0.2916666666666667,0.7,0.4117647058823529
lr,45,0.5263157894736842,0.4583333333333333,0.5365853658536586,0.4943820224719101
rf,45,0.7157894736842105,0.6875,0.7333333333333333,0.7096774193548387
xgb,45,0.7894736842105263,0.8541666666666666,0.7592592592592593,0.803921568627451
knn,46,0.6571428571428571,0.6326530612244898,0.6326530612244898,0.6326530612244898
svm,46,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
nb,46,0.6952380952380952,0.5102040816326531,0.7575757575757576,0.6097560975609756
lr,46,0.6571428571428571,0.5510204081632653,0.6585365853658537,0.6
rf,46,0.6857142857142857,0.6326530612244898,0.6739130434782609,0.6526315789473685
xgb,46,0.6571428571428571,0.6530612244897959,0.6274509803921569,0.64
knn,47,0.7254901960784313,0.7719298245614035,0.7457627118644068,0.7586206896551724
svm,47,0.6764705882352942,0.8771929824561403,0.6578947368421053,0.7518796992481203
nb,47,0.7352941176470589,0.7719298245614035,0.7586206896551724,0.7652173913043478
lr,47,0.6764705882352942,0.7543859649122807,0.6935483870967742,0.7226890756302521
rf,47,0.7450980392156863,0.8947368421052632,0.7183098591549296,0.796875
xgb,47,0.7843137254901961,0.9473684210526315,0.7397260273972602,0.8307692307692308
knn,48,0.6346153846153846,0.5306122448979592,0.6341463414634146,0.5777777777777777
svm,48,0.6346153846153846,0.8163265306122449,0.5797101449275363,0.6779661016949152
nb,48,0.6923076923076923,0.6530612244897959,0.6808510638297872,0.6666666666666666
lr,48,0.6538461538461539,0.673469387755102,0.6226415094339622,0.6470588235294118
rf,48,0.625,0.5714285714285714,0.6086956521739131,0.5894736842105263
xgb,48,0.6730769230769231,0.6938775510204082,0.6415094339622641,0.6666666666666666
knn,49,0.6990291262135923,0.7368421052631579,0.7241379310344828,0.7304347826086957
svm,49,0.6601941747572816,0.8245614035087719,0.6527777777777778,0.7286821705426356
nb,49,0.6116504854368932,0.38596491228070173,0.8148148148148148,0.5238095238095238
lr,49,0.5436893203883495,0.40350877192982454,0.6388888888888888,0.4946236559139785
rf,49,0.7378640776699029,0.7719298245614035,0.7586206896551724,0.7652173913043478
xgb,49,0.7281553398058253,0.7894736842105263,0.7377049180327869,0.7627118644067796
knn,50,0.6285714285714286,0.5833333333333334,0.5957446808510638,0.5894736842105263
svm,50,0.7142857142857143,0.7708333333333334,0.6607142857142857,0.7115384615384616
nb,50,0.5333333333333333,0.2708333333333333,0.48148148148148145,0.3466666666666667
lr,50,0.5142857142857142,0.3541666666666667,0.4594594594594595,0.4
rf,50,0.6857142857142857,0.6458333333333334,0.6595744680851063,0.6526315789473685
xgb,50,0.7142857142857143,0.7083333333333334,0.68,0.6938775510204082
knn,51,0.625,0.5918367346938775,0.6041666666666666,0.5979381443298969
svm,51,0.6826923076923077,0.673469387755102,0.66,0.6666666666666666
nb,51,0.6346153846153846,0.3877551020408163,0.7037037037037037,0.5
lr,51,0.6153846153846154,0.46938775510204084,0.6216216216216216,0.5348837209302325
rf,51,0.7211538461538461,0.6938775510204082,0.7083333333333334,0.7010309278350515
xgb,51,0.7115384615384616,0.6938775510204082,0.6938775510204082,0.6938775510204082
